"Wave","Country","Ethnic","attack_recode_bin","educ","lage","sex","urban_recode","ruling_supporter","employment_recode","eth_id_bin","ethfrac","polity2","civil","separatist","intim_recode_bin","primary","latentmean","violence_recode","violence_willing","distance","weights","subclass"
5,"Burundi","Hutu",0,1,3.46573590279973,2,1,2,1,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0330748630229119,0.153390650451311,1117
5,"Burundi","Hutu",1,2,3.49650756146648,1,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0375133863225503,1,917
5,"Burundi","Hutu",0,2,3.13549421592915,2,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0325211404060265,0.200587773667099,315
5,"Burundi","Hutu",0,2,3.63758615972639,1,1,2,1,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0366846457496476,1.06676225086594,917
5,"Burundi","Hutu",0,2,4.06044301054642,1,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0317095677228918,0.340127094478994,1786
5,"Burundi","Hutu",0,2,4.00733318523247,2,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0283002522730162,0.601763321001297,1965
5,"Burundi","Hutu",0,0,3.40119738166216,1,1,1,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0463625232241237,0.869213685890763,872
5,"Burundi","Hutu",0,3,3.40119738166216,1,1,2,1,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0384362630349003,1.06676225086594,917
5,"Burundi","Hutu",0,0,3.29583686600433,2,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0336667845652495,0.447024181315249,723
5,"Burundi","Hutu",0,4,2.99573227355399,1,1,2,1,0,0.0355106592178345,6,1,1,1,1,-0.770333109179308,0,0,0.0413564058561582,1.3805158540618,43
5,"Burundi","Hutu",0,1,3.40119738166216,1,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0377336921247985,1.06676225086594,917
5,"Burundi","Hutu",0,3,3.63758615972639,1,1,2,1,1,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,1,0.0370250263999897,1.06676225086594,917
5,"Burundi","Hutu",0,2,4.06044301054642,1,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0317095677228918,0.340127094478994,1786
5,"Burundi","Hutu",0,3,3.13549421592915,2,1,2,1,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0355073917574457,0.488932698313554,225
5,"Burundi","Hutu",0,0,3.46573590279973,2,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0327695614696701,0.153390650451311,1117
5,"Burundi","Hutu",0,2,3.2188758248682,2,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0347179844004671,0.447024181315249,723
5,"Burundi","Hutu",0,2,2.94443897916644,1,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0378555118556258,0.521528211534458,136
5,"Burundi","Hutu",1,2,3.29583686600433,1,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0387232462153286,1,528
5,"Burundi","Hutu",1,0,2.99573227355399,2,1,2,1,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0353098454431949,1,225
5,"Burundi","Hutu",0,2,3.46573590279973,1,1,1,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0467426862436665,0.869213685890763,872
5,"Burundi","Hutu",0,2,3.8286413964891,1,1,1,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0441542881313085,0.521528211534458,1270
5,"Burundi","Hutu",0,5,3.58351893845611,1,1,1,2,0,0.0355106592178345,6,1,1,2,1,-0.770333109179308,0,0,0.047969985473138,1.11756045328812,894
5,"Burundi","Hutu",0,0,2.94443897916644,2,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.03290847950156,0.200587773667099,315
5,"Burundi","Hutu",0,3,3.2188758248682,2,1,2,1,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0350407810340538,0.447024181315249,723
5,"Burundi","Hutu",0,1,3.29583686600433,2,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0339801515388186,0.447024181315249,723
5,"Burundi","Hutu",1,0,3.29583686600433,1,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0380156369719265,1,528
5,"Burundi","Hutu",0,1,2.99573227355399,2,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0329452278497572,0.200587773667099,315
5,"Burundi","Hutu",0,2,2.89037175789616,1,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0381806887290632,0.521528211534458,136
5,"Burundi","Hutu",0,1,3.29583686600433,2,1,2,1,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0339801515388186,0.447024181315249,723
5,"Burundi","Tutsi",0,2,3.29583686600433,1,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0387232462153286,1.3805158540618,528
5,"Burundi","Hutu",0,2,3.49650756146648,2,1,2,1,1,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0332200054825335,0.153390650451311,1117
5,"Burundi","Hutu",0,4,2.94443897916644,1,1,1,1,0,0.0355106592178345,6,1,1,1,1,-0.770333109179308,0,0,0.0516456608182939,0.711174833910624,4
5,"Burundi","Hutu",0,2,2.94443897916644,1,2,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0378555118556258,0.521528211534458,136
5,"Burundi","Hutu",1,2,2.89037175789616,2,1,2,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,0,0,0.0365746245287972,1,225
5,"Burundi","Hutu",1,0,3.85014760171006,1,1,2,2,0,0.0355106592178345,6,1,1,2,2,-0.770333109179308,0,0,0.0354223067653651,1,1333
5,"Burundi","Hutu",0,0,3.68887945411394,1,1,1,1,0,0.0355106592178345,6,1,1,1,2,-0.770333109179308,1,0,0.0443151695379219,0.521528211534458,1270
